First Number,Second Number,Third Number
10,19,40
10,19,41
10,19,42
10,19,43
10,19,44
10,19,45
10,19,46
10,19,47
10,19,48
10,19,49
10,19,50
10,19,51
10,19,52
10,19,53
10,19,54
10,19,55
10,19,56
10,19,57
10,19,58
10,19,59
10,19,60
10,20,40
10,20,41
10,20,42
10,20,43
10,20,44
10,20,45
10,20,46
10,20,47
10,20,48
10,20,49
10,20,50
10,20,51
10,20,52
10,20,53
10,20,54
10,20,55
10,20,56
10,20,57
10,20,58
10,20,59
10,20,60
10,21,40
10,21,41
10,21,42
10,21,43
10,21,44
10,21,45
10,21,46
10,21,47
10,21,48
10,21,49
10,21,50
10,21,51
10,21,52
10,21,53
10,21,54
10,21,55
10,21,56
10,21,57
10,21,58
10,21,59
10,21,60
10,22,40
10,22,41
10,22,42
10,22,43
10,22,44
10,22,45
10,22,46
10,22,47
10,22,48
10,22,49
10,22,50
10,22,51
10,22,52
10,22,53
10,22,54
10,22,55
10,22,56
10,22,57
10,22,58
10,22,59
10,22,60
10,23,40
10,23,41
10,23,42
10,23,43
10,23,44
10,23,45
10,23,46
10,23,47
10,23,48
10,23,49
10,23,50
10,23,51
10,23,52
10,23,53
10,23,54
10,23,55
10,23,56
10,23,57
10,23,58
10,23,59
10,23,60
10,24,40
10,24,41
10,24,42
10,24,43
10,24,44
10,24,45
10,24,46
10,24,47
10,24,48
10,24,49
10,24,50
10,24,51
10,24,52
10,24,53
10,24,54
10,24,55
10,24,56
10,24,57
10,24,58
10,24,59
10,24,60
10,25,40
10,25,41
10,25,42
10,25,43
10,25,44
10,25,45
10,25,46
10,25,47
10,25,48
10,25,49
10,25,50
10,25,51
10,25,52
10,25,53
10,25,54
10,25,55
10,25,56
10,25,57
10,25,58
10,25,59
10,25,60
10,26,40
10,26,41
10,26,42
10,26,43
10,26,44
10,26,45
10,26,46
10,26,47
10,26,48
10,26,49
10,26,50
10,26,51
10,26,52
10,26,53
10,26,54
10,26,55
10,26,56
10,26,57
10,26,58
10,26,59
10,26,60
10,27,40
10,27,41
10,27,42
10,27,43
10,27,44
10,27,45
10,27,46
10,27,47
10,27,48
10,27,49
10,27,50
10,27,51
10,27,52
10,27,53
10,27,54
10,27,55
10,27,56
10,27,57
10,27,58
10,27,59
10,27,60
10,28,40
10,28,41
10,28,42
10,28,43
10,28,44
10,28,45
10,28,46
10,28,47
10,28,48
10,28,49
10,28,50
10,28,51
10,28,52
10,28,53
10,28,54
10,28,55
10,28,56
10,28,57
10,28,58
10,28,59
10,28,60
10,29,40
10,29,41
10,29,42
10,29,43
10,29,44
10,29,45
10,29,46
10,29,47
10,29,48
10,29,49
10,29,50
10,29,51
10,29,52
10,29,53
10,29,54
10,29,55
10,29,56
10,29,57
10,29,58
10,29,59
10,29,60
10,30,40
10,30,41
10,30,42
10,30,43
10,30,44
10,30,45
